Params,total steps,lr,Avg Train Loss,Max Train Loss,C4 Eval PPL,Wiki Eval PPL,C4 Eval Loss,Wiki Eval Loss,C,Approx_C_no_emb,Approx_C,D,N_no_emb,N,total train ZFLOPs,goal train tokens,tok / sec,act. check?,vocab,num GPUs,local bsz,batch size,seq len,tok / batch,layers,model dim,FFN dim,n heads,head size,attn params / layer,FFN params / layer,params / layer,total norm params,total non-emb params,total emb params,NEW # params,HW TFLOP/s/GPU,Model FLOP Util,days to finish,attn FLOPS per layer-token,Proj FLOPs per layer-token,FFN FLOPs per layer-token,Body FLOPs,logits FLOPS,FLOPs / update,FLOPS / update w/ rema,% FLOPS Proj,% FLOPS FFN,% FLOPS logit,% FLOPS attn,updates per second
12M,,,,,,,,,,,,,12047168,40719168,,,,0,32.0K,16,32,512,2048,1.0M,5,448,1792,7,64,802.8K,1.6M,2.4M,4.9K,12.0M,28.7M,40.7M,,,,1.1E+07,4.8E+06,9.6E+06,1.3E+14,9.0E+13,2.2E+14,2.2E+14,11%,23%,40.3%,25.8%,
,200,,,,,,,,,,,,12047168,40719168,4.5E-05,210M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,5.166,5.435,178.767,309.804,5.186,5.736,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.956,5.195,146.596,225.257,4.988,5.417,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.957,5.185,146.194,216.300,4.985,5.377,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,12047168,40719168,5.6E-05,262M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,6.481,6.847,609.391,1684.425,6.412,7.429,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-04,5.896,6.224,348.487,851.717,5.854,6.747,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-04,5.427,5.801,228.433,455.996,5.431,6.122,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-04,5.067,5.432,164.992,278.316,5.106,5.629,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.966,5.343,150.235,242.246,5.012,5.490,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.738,5.079,121.925,172.983,4.803,5.153,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.717,5.044,119.259,166.031,4.781,5.112,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-03,4.862,5.206,137.095,186.344,4.921,5.228,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,,,,,,,,,,,,12047168,40719168,8.1E-05,377M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.704,4.912,114.129,163.362,4.737,5.096,8.05E+16,2.73E+16,9.22E+16,377487360,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.450,4.659,89.669,113.959,4.496,4.736,8.05E+16,2.73E+16,9.22E+16,377487360,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
