"Name","train/avg_loss_AVG","train/max_loss_MAX","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/c4.jsonl","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/wikipedia.jsonl","Created","Runtime","Notes","State","Updated","Tags","optim.lr","torch_seed","valid.seed","model.moe_ec","model.moe_ec_k","model.moe_everyk","model.moe_load_balance","model.moe_samplek","model.moe_topk","model.moe_topk_k","model.number_of_experts","model.n_layers","model.n_heads","model.spm_model","model.spm_moe_matmul","model.spm_tau","model.switch_transformer","batch_size","steps","optim/n_tokens","train/step","train/wps"
"moe_bsz1M.ngpu16_20240225-094706.model-12m.moe-gshard.lr_4e-3,number_of_experts_4","4.498388767242432","4.794472694396973","96.71059714596792","131.58990907384714","2024-02-25T10:16:21.000Z","160","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.004","0","42","false","2","4","0","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","170511.70301102987"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_1e-3,number_of_experts_4,moe_load_balance_1","4.8370585441589355","5.187912940979004","133.01864627968854","213.87050746871623","2024-02-25T11:04:31.000Z","160","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.001","0","42","false","2","4","1","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","163572.22939797977"
"moe_bsz1M.ngpu16_20240225-094706.model-12m.moe-gshard.lr_8e-3,number_of_experts_4","4.761170864105225","5.0995025634765625","124.67666074202474","166.11877775022785","2024-02-25T10:15:48.000Z","161","-","failed","2024-02-26T19:07:17.000Z","a=gshard, experts=4","0.008","0","42","false","2","4","0","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","165773.02893644228"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_2e-3,number_of_experts_4,moe_load_balance_0.5","4.5792317390441895","4.888217449188232","104.24456709664705","151.2656959786896","2024-02-25T10:54:46.000Z","161","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.002","0","42","false","2","4","0.5","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","156402.82745011017"
"moe_bsz1M.ngpu16_20240225-094706.model-12m.moe-gshard.lr_4e-4,number_of_experts_4","5.288211822509766","5.633337020874023","200.8392621053765","390.8343435051798","2024-02-25T10:10:58.000Z","162","-","failed","2024-02-26T19:07:17.000Z","a=gshard, experts=4","0.0004","0","42","false","2","4","0","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","164066.8828424889"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_8e-3,number_of_experts_4,moe_load_balance_0.5","4.753522872924805","5.109816074371338","124.20516115808567","164.8806835206666","2024-02-25T10:48:38.000Z","162","-","failed","2024-02-26T19:07:17.000Z","a=gshard, experts=4","0.008","0","42","false","2","4","0.5","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","168457.3387119081"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_2e-3,number_of_experts_4,moe_load_balance_1","4.591394901275635","4.91586971282959","105.75619404902424","152.27367897477555","2024-02-25T11:04:32.000Z","163","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.002","0","42","false","2","4","1","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","154666.1100651874"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_4e-3,number_of_experts_4,moe_load_balance_0.5","4.512999057769775","4.794155120849609","97.97571657337603","134.4975267906822","2024-02-25T10:50:47.000Z","163","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.004","0","42","false","2","4","0.5","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","166164.75964112248"
"moe_bsz1M.ngpu16_20240225-094706.model-12m.moe-gshard.lr_1e-3,number_of_experts_4","4.829451560974121","5.173459529876709","132.16533902163425","212.0010797292532","2024-02-25T10:30:20.000Z","164","-","failed","2024-02-26T19:07:00.000Z","a=gshard, experts=4","0.001","0","42","false","2","4","0","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","164874.6979177219"
"moe_bsz1M.ngpu16_20240225-102526.model-12m.moe-gshard.lr_8e-3,number_of_experts_4,moe_load_balance_1","4.766534805297852","5.112437725067139","125.40288918790316","167.41042737251277","2024-02-25T10:46:05.000Z","164","-","failed","2024-02-26T19:07:17.000Z","a=gshard, experts=4","0.008","0","42","false","2","4","1","false","true","2","4","5","7","false","true","1","false","32","250","262144000","250","162857.25357856043"
