loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
3.287519883364439,3.287519883364439,93940416,35842752,16777216000,9456351902178213888,3608049554037669888,9456351902171136000,3608049554030592000,1.0,misfitting_35m,16777216000,16000,16000,125,125,0.002,2024_11_26-18_49_27_sweep_test
5.562278985977173,5.562278985977173,57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,misfitting_12m,209715200,200,200,2,2,0.002,2025_02_06-22_22_50_sweep_test
5.342585165519267,5.342585165519267,57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,misfitting_12m,262144000,250,250,2,2,0.002,2025_02_06-22_22_50_sweep_test
5.463137998944148,5.463137998944148,57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,misfitting_12m,209715200,200,200,2,2,0.004,2025_02_06-22_22_50_sweep_test
5.507163620553911,5.507163620553911,57234240,12047168,209715200,72017340536193024,15158845484826624,72017340530688000,15158845479321600,1.0,misfitting_12m,209715200,200,200,2,2,0.008,2025_02_06-22_22_50_sweep_test
5.265927888453007,5.265927888453007,57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,misfitting_12m,262144000,250,250,2,2,0.008,2025_02_06-22_22_50_sweep_test
5.203594068298116,5.203594068298116,57234240,12047168,262144000,90021675668865024,18948556854657024,90021675663360000,18948556849152000,1.0,misfitting_12m,262144000,250,250,2,2,0.004,2025_02_06-22_22_50_sweep_test
3.208512811921537,3.208512811921537,113718400,49165440,16777216000,11447268959854264320,4949155239698104320,11447268959846400000,4949155239690240000,1.0,misfitting_50m,16777216000,16000,16000,125,125,0.004,2024_11_26-18_54_23_sweep_test
3.241366010857746,3.241366010857746,113718400,49165440,16777216000,11447268959854264320,4949155239698104320,11447268959846400000,4949155239690240000,1.0,misfitting_50m,16777216000,16000,16000,125,125,0.001,2024_12_01-19_27_19_sweep_test
3.2113824328407645,3.2113824328407645,113718400,49165440,16777216000,11447268959854264320,4949155239698104320,11447268959846400000,4949155239690240000,1.0,misfitting_50m,16777216000,16000,16000,125,125,0.002,2024_11_26-18_54_23_sweep_test
