"Name","train/avg_loss_AVG","train/max_loss_MAX","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/c4.jsonl","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/wikipedia.jsonl","Created","Runtime","Notes","State","Updated","Tags","optim.lr","torch_seed","valid.seed","model.moe_ec","model.moe_ec_k","model.moe_everyk","model.moe_load_balance","model.moe_samplek","model.moe_topk","model.moe_topk_k","model.number_of_experts","model.n_layers","model.n_heads","model.spm_model","model.spm_moe_matmul","model.spm_tau","model.switch_transformer","batch_size","steps","optim/n_tokens","train/step","train/wps"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_1e-3,number_of_experts_4","4.94022274017334","5.291114807128906","145.35198827324635","239.68416459960568","2024-02-25T09:38:45.000Z","150","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.001","0","42","false","2","4","0","false","false","2","4","5","7","true","false","1","false","32","250","262144000","250","174651.97471364329"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-3,number_of_experts_4","4.720398426055908","5.029801368713379","118.69715706765092","167.21993567233594","2024-02-25T09:59:39.000Z","152","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.004","0","42","false","2","4","0","false","false","2","4","5","7","true","false","1","false","32","250","262144000","250","168638.87193280336"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_8e-3,number_of_experts_4","4.843079566955566","5.177359580993652","134.10311491609548","184.4003137534124","2024-02-25T09:52:24.000Z","152","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.008","0","42","false","2","4","0","false","false","2","4","5","7","true","false","1","false","32","250","262144000","250","168268.6784501508"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_2e-3,number_of_experts_4","4.691197395324707","5.007195472717285","115.9904657137392","166.55422314606014","2024-02-25T09:53:26.000Z","154","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.002","0","42","false","2","4","0","false","false","2","4","5","7","true","false","1","false","32","250","262144000","250","175009.19021207214"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-4,number_of_experts_4","5.404081344604492","5.733613014221191","221.58435482316895","445.2276820408657","2024-02-25T09:55:22.000Z","156","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.0004","0","42","false","2","4","0","false","false","2","4","5","7","true","false","1","false","32","250","262144000","250","175635.51197927725"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-4,number_of_experts_16","5.399447441101074","5.763840675354004","221.09971231238163","443.1640297924562","2024-02-25T09:57:15.000Z","156","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.0004","0","42","false","2","4","0","false","false","2","16","5","7","true","false","1","false","32","250","262144000","250","157074.79915977863"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_2e-3,number_of_experts_16","4.682856559753418","4.9983720779418945","114.24693667582916","164.24583553846978","2024-02-25T09:57:28.000Z","158","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.002","0","42","false","2","4","0","false","false","2","16","5","7","true","false","1","false","32","250","262144000","250","169777.82109881664"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_1e-3,number_of_experts_16","4.919297218322754","5.305056095123291","142.10783491277058","233.15838177684145","2024-02-25T09:41:49.000Z","160","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.001","0","42","false","2","4","0","false","false","2","16","5","7","true","false","1","false","32","250","262144000","250","169233.72994688002"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-3,number_of_experts_16","4.707515716552734","5.014344215393066","117.51165256437952","165.58546823318142","2024-02-25T09:47:32.000Z","160","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.004","0","42","false","2","4","0","false","false","2","16","5","7","true","false","1","false","32","250","262144000","250","167532.20918685308"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_8e-3,number_of_experts_16","4.814581871032715","5.135683536529541","130.28870716098726","179.6419794322699","2024-02-25T09:38:42.000Z","161","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.008","0","42","false","2","4","0","false","false","2","16","5","7","true","false","1","false","32","250","262144000","250","169850.68733294215"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_8e-3,number_of_experts_64","4.834237098693848","5.18304967880249","132.80978901864407","182.25743402064057","2024-02-25T09:59:50.000Z","185","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=64","0.008","0","42","false","2","4","0","false","false","2","64","5","7","true","false","1","false","32","250","262144000","250","143885.12458904792"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_1e-3,number_of_experts_64","4.930802345275879","5.2465291023254395","144.41990074551674","235.5457348912763","2024-02-25T10:00:46.000Z","186","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.001","0","42","false","2","4","0","false","false","2","64","5","7","true","false","1","false","32","250","262144000","250","144830.50348737766"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-3,number_of_experts_64","4.744769096374512","5.071285724639893","120.89655639430406","172.87707790226892","2024-02-25T09:51:03.000Z","186","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.004","0","42","false","2","4","0","false","false","2","64","5","7","true","false","1","false","32","250","262144000","250","146877.78239685716"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-4,number_of_experts_64","5.405267715454102","5.729862689971924","221.91817354915096","439.02162172927626","2024-02-25T09:41:49.000Z","188","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=64","0.0004","0","42","false","2","4","0","false","false","2","64","5","7","true","false","1","false","32","250","262144000","250","141712.74411766257"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_2e-3,number_of_experts_64","4.738183975219727","5.059216499328613","120.38998130194732","177.02802611857282","2024-02-25T09:50:30.000Z","189","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.002","0","42","false","2","4","0","false","false","2","64","5","7","true","false","1","false","32","250","262144000","250","141393.16566505877"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_1e-3,number_of_experts_4","4.161196708679199","4.376081466674805","69.15374909463735","86.90468824702539","2024-02-25T09:43:14.000Z","273","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.001","0","42","false","2","4","0","false","false","2","4","8","8","true","false","1","false","32","500","524288000","500","181010.58004118013"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_2e-3,number_of_experts_4","3.8905162811279297","4.100167751312256","54.21355775573949","63.01850698145058","2024-02-25T09:37:05.000Z","274","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.002","0","42","false","2","4","0","false","false","2","4","8","8","true","false","1","false","32","500","524288000","500","182412.67813203388"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-3,number_of_experts_4","3.8467319011688232","4.067951202392578","52.86126531488171","60.53921619187756","2024-02-25T10:06:57.000Z","277","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.004","0","42","false","2","4","0","false","false","2","4","8","8","true","false","1","false","32","500","524288000","500","182216.207975334"
