,,,,General,,,,,Scaling Law Hypothesis,,,,Training Setup,,,,,,,Data Extraction,,,,,Fitting the Scaling Law,,,,,,
Title,Link ,citation,Paper,Domain,Training Code?,Analysis Code?,Check- points?,Metric Scores?,Power Law Form,"Purpose of Power Law (e.g., Performance Prediction, Optimal ratio)",# Power Law parameters,# of scaling laws,Training Runs / Law,Max. Training FLOPs,Max. Training Params,Max. Training Data,Data Described?,Hyperparameters Described?,"How are model params counted (e.g., w/ or w/out embeddings)",Data points per law?,Scaling law metric,Modification of final metric?,Subsets of Data Used,Bootstrapping?,Curve-fitting Method,Loss Objective,Hyperparameters Reported?,Initialization,Are scaling laws validated?,Anecdotes ,flop counts definition?
A constructive prediction of the generalization error across scales,[1909.12673] A Constructive Prediction of the Generalization Error Across Scales,rosenfeld2019constructive,\cite{rosenfeld2019constructive},"Vision, LM",N,N,N,N,"$\tilde{\epsilon}(m, n)=a n^{-\alpha}+b m^{-\beta}+c_{\infty}$",Performance Prediction,5-6,8,42-49,,0.7M-70M,100M words / 1.2M images,Y,Y,Non-embedding,42-49,Loss / Top1 Error,N,N,N,Least Squares Regression,Custom error term,N/A,Random,Y,,Y
A scaling law for synthetic-to-real transfer: How much is your pre-training effective?,[2108.11018] A Scaling Law for Synthetic-to-Real Transfer: How Much Is Your Pre-training Effective?,mikamiscaling,\cite{mikamiscaling},Vision,N,Y,Y,Y,"$L(n, s)=\delta\left(\gamma+n^{-\alpha}\right) s^{-\beta}$",Performance Prediction,4,3,7,,ResNet-101,64k-1.28M images,Y,Y,NA,7,Error Rate,N,N,N,Non-linear Least Squares in log-log space,,N/A,N/A,Y,"we fixed a common D for all the cases and estimated α for each. To determine D, we used the following procedure. First, we prepared two global parameters α, ˆ Dˆ and set 0.5 as their initial values.",NA
Are emergent abilities of large language models a mirage?,[2304.15004] Are Emergent Abilities of Large Language Models a Mirage?,schaeffer2023emergent,\cite{schaeffer2023emergent},LM,N,N,N,N,None,N/A,NA,NA,4,,$10^{11}$,NA,Y,NA,Non-embedding,NA,Various downstream,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Beyond Chinchilla-Optimal: Accounting for Inference in Language Model Scaling Laws,https://www.semanticscholar.org/paper/Beyond-Chinchilla-Optimal%3A-Accounting-for-Inference-Sardana-Frankle/82f75d838e92196864131bad25b1abc3b5d40a6f?utm_content=title&utm_medium=unfurl&utm_source=slackbot,sardana2023beyond,\cite{sardana2023beyond},LM,N,N,N,N,"$L(N, D) = E + \frac{A}{N^\alpha} + \frac{B}{D^\beta} $; $N^*\left(\ell, D_{\text {inf }}\right), D_{\text {tr }}^*\left(\ell, D_{\text {inf }}\right)={\arg \min } _{N, D_{\mathrm{tr}} \mid L\left(N, D_{\mathrm{tr}}\right)=\ell}$",Performance Prediction,5,4,47,,150M-6B,1.5B-1.25T tokens,N,Y,NA,NS,Loss,NS,NS,N,L-BFGS,Huber Loss,Y,Grid Search,N,,$6ND$
Beyond neural scaling laws: beating power law scaling via data pruning,[2206.14486] Beyond neural scaling laws: beating power law scaling via data pruning,sorscher2022beyond,\cite{sorscher2022beyond},Vision,N,N,N,Y,"$c \cdot \alpha^{-\beta} ,  c \cdot \exp (-b \alpha)$",Performance Prediction,2,34,~60,,86M (ViT),200 epochs,Y,Y,NA,~60,Error Rate,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Broken neural scaling laws,[2210.14891] Broken Neural Scaling Laws,caballero2022broken,\cite{caballero2022broken},LM,N,Y,N,Y,$y=a+\left(b x^{-c_0}\right) \prod_{i=1}^n\left(1+\left(\frac{x}{d_i}\right)^{1 / f_i}\right)^{-c_i * f_i}$,Performance Prediction,5+,100+,3-40,,NS,NS,N,N,NS,3-40,"FID, Loss, Error Rate, Elo Score",N,NS,N,Least Squares Regression,MSLE,N/A,"Grid Search, optimize one",Y,,N
Chinchilla Scaling: A replication attempt,[2404.10102] Chinchilla Scaling: A replication attempt,besiroglu2024chinchilla,\cite{besiroglu2024chinchilla},LM,N/A,Y,N,Y,"$L(N, D) = E + \frac{A}{N^\alpha} + \frac{B}{D^\beta} $",Performance Prediction,5,1,NA,NA,NA,NA,Y,NA,Non-embedding,245,Loss,N,N,Y,L-BFGS,Huber Loss,Y,Grid Search,Y,,NA
Data and Parameter Scaling Laws for Neural Machine Translation,Data and Parameter Scaling Laws for Neural Machine Translation - ACL Anthology,gordon2021data,\cite{gordon2021data},NMT,Y,Y,Y,Y,"$L(N, D) = \left[ \left( \frac{N}{N_c}\right)^{\frac{\alpha_N}{\alpha_D}} + \frac{D}{D_c} \right]^{\alpha_D} $",Performance Prediction,4,3,45-55,,56M,28.3M-51.1M examples,Y,Y,Non-embedding,45-55,Loss,N,N,N,Least Squares Regression,,N/A,N.S.,N,,NA
